time,Alt,Mach,heat_load,Wgt_On_Whl,Aircraft_state
904.0,10000.0,1.2,4000.0,0.0,4.0
906.0,10000.0,1.2,4000.0,0.0,4.0
908.0,10000.0,1.2,4000.0,0.0,4.0
910.0,10000.0,1.2,4000.0,0.0,4.0
912.0,10000.0,1.2,4000.0,0.0,4.0
914.0,10000.0,1.2,4000.0,0.0,4.0
916.0,10000.0,1.2,4000.0,0.0,4.0
918.0,10000.0,1.2,4000.0,0.0,4.0
920.0,10000.0,1.2,4000.0,0.0,4.0
922.0,10000.0,1.2,4000.0,0.0,4.0
924.0,10000.0,1.2,4000.0,0.0,4.0
926.0,10000.0,1.2,4000.0,0.0,4.0
928.0,10000.0,1.2,4000.0,0.0,4.0
930.0,10000.0,1.2,4000.0,0.0,4.0
932.0,10000.0,1.2,4000.0,0.0,4.0
934.0,10000.0,1.2,4000.0,0.0,4.0
936.0,10000.0,1.2,4000.0,0.0,4.0
938.0,10000.0,1.2,4000.0,0.0,4.0
940.0,10000.0,1.2,4000.0,0.0,4.0
942.0,10000.0,1.2,4000.0,0.0,4.0
944.0,10000.0,1.2,4000.0,0.0,4.0
946.0,10000.0,1.2,4000.0,0.0,4.0
948.0,10000.0,1.2,4000.0,0.0,4.0
950.0,10000.0,1.2,4000.0,0.0,4.0
952.0,10000.0,1.2,4000.0,0.0,4.0
954.0,10000.0,1.2,4000.0,0.0,4.0
956.0,10000.0,1.2,4000.0,0.0,4.0
958.0,10000.0,1.2,4000.0,0.0,4.0
960.0,10000.0,1.2,4000.0,0.0,4.0
962.0,10000.0,1.2,4000.0,0.0,4.0
964.0,10000.0,1.2,4000.0,0.0,4.0
966.0,10000.0,1.2,4000.0,0.0,4.0
968.0,10000.0,1.2,4000.0,0.0,4.0
970.0,10000.0,1.2,4000.0,0.0,4.0
972.0,10000.0,1.2,4000.0,0.0,4.0
974.0,10000.0,1.2,4000.0,0.0,4.0
976.0,10000.0,1.2,4000.0,0.0,4.0
978.0,10000.0,1.2,4000.0,0.0,4.0
980.0,10000.0,1.2,4000.0,0.0,4.0
982.0,10000.0,1.2,4000.0,0.0,4.0
984.0,10000.0,1.2,4000.0,0.0,4.0
986.0,10000.0,1.2,4000.0,0.0,4.0
988.0,10000.0,1.2,4000.0,0.0,4.0
990.0,10000.0,1.2,4000.0,0.0,4.0
992.0,10000.0,1.2,4000.0,0.0,4.0
994.0,10000.0,1.2,4000.0,0.0,4.0
996.0,10000.0,1.2,4000.0,0.0,4.0
998.0,10000.0,1.2,4000.0,0.0,4.0
1000.0,10000.0,1.2,4000.0,0.0,4.0
1002.0,10000.0,1.2,4000.0,0.0,4.0
1004.0,10000.0,1.2,4000.0,0.0,4.0
1006.0,10000.0,1.2,4000.0,0.0,4.0
1008.0,10000.0,1.2,4000.0,0.0,4.0
1010.0,10000.0,1.2,4000.0,0.0,4.0
1012.0,10000.0,1.2,4000.0,0.0,4.0
1014.0,10000.0,1.2,4000.0,0.0,4.0
1016.0,10000.0,1.2,4000.0,0.0,4.0
1018.0,10000.0,1.2,4000.0,0.0,4.0
